date_n,Mkt_RF,SMB,HML,RF,date,year,month,yyyymm
19851101,6.48,0.22,-2.92,0.61,01NOV1985,1985,11,198511
19851201,3.88,-0.5,-1.58,0.65,01DEC1985,1985,12,198512
19860101,0.65,1.22,0.56,0.56,01JAN1986,1986,1,198601
19860201,7.13,-0.65,-0.93,0.53,01FEB1986,1986,2,198602
19860301,4.88,-0.51,-0.47,0.6,01MAR1986,1986,3,198603
19860401,-1.31,2.84,-2.91,0.52,01APR1986,1986,4,198604
19860501,4.62,-1.31,-0.11,0.49,01MAY1986,1986,5,198605
19860601,1.03,-0.9,1.39,0.52,01JUN1986,1986,6,198606
19860701,-6.45,-3.38,4.77,0.52,01JUL1986,1986,7,198607
19860801,6.07,-4.18,3.51,0.46,01AUG1986,1986,8,198608
19860901,-8.6,2.28,3.19,0.45,01SEP1986,1986,9,198609
19861001,4.66,-2.49,-1.34,0.46,01OCT1986,1986,10,198610
19861101,1.17,-1.92,-0.05,0.39,01NOV1986,1986,11,198611
19861201,-3.27,0.08,0.33,0.49,01DEC1986,1986,12,198612
19870101,12.47,-1.8,-3.17,0.42,01JAN1987,1987,1,198701
19870201,4.39,3.49,-5.98,0.43,01FEB1987,1987,2,198702
19870301,1.64,0.37,1.64,0.47,01MAR1987,1987,3,198703
19870401,-2.11,-1.7,-0.32,0.44,01APR1987,1987,4,198704
19870501,0.11,-0.52,0.12,0.38,01MAY1987,1987,5,198705
19870601,3.94,-2.19,1.06,0.48,01JUN1987,1987,6,198706
19870701,3.85,-0.63,0.71,0.46,01JUL1987,1987,7,198707
19870801,3.52,-0.75,-0.93,0.47,01AUG1987,1987,8,198708
19870901,-2.59,0.53,0.28,0.45,01SEP1987,1987,9,198709
19871001,-23.24,-8.42,4.23,0.6,01OCT1987,1987,10,198710
19871101,-7.77,2.76,3.08,0.35,01NOV1987,1987,11,198711
19871201,6.81,0.13,-4.45,0.39,01DEC1987,1987,12,198712
19880101,4.21,-0.7,5.17,0.29,01JAN1988,1988,1,198801
19880201,4.75,3.35,-1.65,0.46,01FEB1988,1988,2,198802
19880301,-2.27,6.15,0.75,0.44,01MAR1988,1988,3,198803
19880401,0.56,0.96,1.68,0.46,01APR1988,1988,4,198804
19880501,-0.29,-2.65,2.28,0.51,01MAY1988,1988,5,198805
19880601,4.79,2.12,-1.11,0.49,01JUN1988,1988,6,198806
19880701,-1.25,-0.21,2.27,0.51,01JUL1988,1988,7,198807
19880801,-3.31,0.08,2.08,0.59,01AUG1988,1988,8,198808
19880901,3.3,-1.26,-0.69,0.62,01SEP1988,1988,9,198809
19881001,1.15,-2.9,1.68,0.61,01OCT1988,1988,10,198810
19881101,-2.29,-1.73,1.27,0.57,01NOV1988,1988,11,198811
19881201,1.49,1.94,-1.55,0.63,01DEC1988,1988,12,198812
19890101,6.1,-2.13,0.53,0.55,01JAN1989,1989,1,198901
19890201,-2.25,2.76,0.88,0.61,01FEB1989,1989,2,198902
19890301,1.57,0.73,0.48,0.67,01MAR1989,1989,3,198903
19890401,4.33,-0.59,-1.47,0.67,01APR1989,1989,4,198904
19890501,3.35,-0.03,-0.83,0.79,01MAY1989,1989,5,198905
19890601,-1.35,-1.01,2.16,0.71,01JUN1989,1989,6,198906
19890701,7.2,-4.02,-2.83,0.7,01JUL1989,1989,7,198907
19890801,1.44,0.5,0.73,0.74,01AUG1989,1989,8,198908
19890901,-0.76,0.28,-1.33,0.65,01SEP1989,1989,9,198909
19891001,-3.67,-3.3,-1.02,0.68,01OCT1989,1989,10,198910
19891101,1.03,-1.24,-1.11,0.69,01NOV1989,1989,11,198911
19891201,1.16,-2.41,0.3,0.61,01DEC1989,1989,12,198912
19900101,-7.85,-1.28,0.86,0.57,01JAN1990,1990,1,199001
19900201,1.11,1.03,0.61,0.57,01FEB1990,1990,2,199002
19900301,1.83,1.52,-2.89,0.64,01MAR1990,1990,3,199003
19900401,-3.36,-0.5,-2.55,0.69,01APR1990,1990,4,199004
19900501,8.42,-2.56,-3.73,0.68,01MAY1990,1990,5,199005
19900601,-1.09,1.43,-1.95,0.63,01JUN1990,1990,6,199006
19900701,-1.9,-3.2,-0.02,0.68,01JUL1990,1990,7,199007
19900801,-10.15,-3.58,1.63,0.66,01AUG1990,1990,8,199008
19900901,-6.12,-3.67,0.74,0.6,01SEP1990,1990,9,199009
19901001,-1.92,-5.53,0.29,0.68,01OCT1990,1990,10,199010
19901101,6.35,0.32,-3.11,0.57,01NOV1990,1990,11,199011
19901201,2.46,0.81,-1.56,0.6,01DEC1990,1990,12,199012
19910101,4.69,3.8,-1.84,0.52,01JAN1991,1991,1,199101
19910201,7.19,3.94,-0.54,0.48,01FEB1991,1991,2,199102
19910301,2.65,3.9,-1.24,0.44,01MAR1991,1991,3,199103
19910401,-0.28,0.51,1.4,0.53,01APR1991,1991,4,199104
19910501,3.65,-0.34,-0.56,0.47,01MAY1991,1991,5,199105
19910601,-4.94,0.07,1.21,0.42,01JUN1991,1991,6,199106
19910701,4.24,-0.95,-1.27,0.49,01JUL1991,1991,7,199107
19910801,2.32,1.59,-0.79,0.46,01AUG1991,1991,8,199108
19910901,-1.59,1.63,-0.98,0.46,01SEP1991,1991,9,199109
19911001,1.29,0.9,-0.44,0.42,01OCT1991,1991,10,199110
19911101,-4.19,-0.47,-1.91,0.39,01NOV1991,1991,11,199111
19911201,10.84,-2.24,-4.04,0.38,01DEC1991,1991,12,199112
19920101,-0.59,8.45,4.5,0.34,01JAN1992,1992,1,199201
19920201,1.09,0.88,6.36,0.28,01FEB1992,1992,2,199202
19920301,-2.66,-1.03,3.66,0.34,01MAR1992,1992,3,199203
19920401,1.07,-6.12,4.28,0.32,01APR1992,1992,4,199204
19920501,0.3,0.4,1.27,0.28,01MAY1992,1992,5,199205
19920601,-2.34,-3.09,3.41,0.32,01JUN1992,1992,6,199206
19920701,3.77,-0.44,-0.53,0.31,01JUL1992,1992,7,199207
19920801,-2.38,-0.11,-1.04,0.26,01AUG1992,1992,8,199208
19920901,1.19,0.56,-0.21,0.26,01SEP1992,1992,9,199209
19921001,1.02,2.04,-2.1,0.23,01OCT1992,1992,10,199210
19921101,4.13,3.69,-1.48,0.23,01NOV1992,1992,11,199211
19921201,1.53,1.65,2.51,0.28,01DEC1992,1992,12,199212
19930101,0.93,2.05,5.89,0.23,01JAN1993,1993,1,199301
19930201,0.12,-3.44,6.42,0.22,01FEB1993,1993,2,199302
19930301,2.3,0.24,1.24,0.25,01MAR1993,1993,3,199303
19930401,-3.05,-0.7,2.61,0.24,01APR1993,1993,4,199304
19930501,2.89,1.96,-3.41,0.22,01MAY1993,1993,5,199305
19930601,0.31,-0.3,2.61,0.25,01JUN1993,1993,6,199306
19930701,-0.34,0.93,3.25,0.24,01JUL1993,1993,7,199307
19930801,3.71,0.32,-0.45,0.25,01AUG1993,1993,8,199308
19930901,-0.12,3.12,-0.44,0.26,01SEP1993,1993,9,199309
19931001,1.41,1.45,-1.55,0.22,01OCT1993,1993,10,199310
19931101,-1.89,-1.43,-0.27,0.25,01NOV1993,1993,11,199311
19931201,1.65,1.22,0.57,0.23,01DEC1993,1993,12,199312
19940101,2.87,0.13,2.08,0.25,01JAN1994,1994,1,199401
19940201,-2.55,2.73,-1.44,0.21,01FEB1994,1994,2,199402
19940301,-4.78,-0.97,1.32,0.27,01MAR1994,1994,3,199403
19940401,0.68,-0.92,1.68,0.27,01APR1994,1994,4,199404
19940501,0.58,-2.02,0.19,0.31,01MAY1994,1994,5,199405
19940601,-3.03,-0.47,1.68,0.31,01JUN1994,1994,6,199406
19940701,2.82,-1.72,0.6,0.28,01JUL1994,1994,7,199407
19940801,4.01,1.33,-2.82,0.37,01AUG1994,1994,8,199408
19940901,-2.31,2.82,-1.91,0.37,01SEP1994,1994,9,199409
19941001,1.34,-2.36,-1.74,0.38,01OCT1994,1994,10,199410
19941101,-4.04,0.27,-0.95,0.37,01NOV1994,1994,11,199411
19941201,0.86,0.03,0.53,0.44,01DEC1994,1994,12,199412
19950101,1.8,-2.65,0.81,0.42,01JAN1995,1995,1,199501
19950201,3.63,-0.69,1.04,0.4,01FEB1995,1995,2,199502
19950301,2.19,-0.7,-1.06,0.46,01MAR1995,1995,3,199503
19950401,2.11,-0.63,2.25,0.44,01APR1995,1995,4,199504
19950501,2.9,-2.2,1.68,0.54,01MAY1995,1995,5,199505
19950601,2.72,2.93,-2.27,0.47,01JUN1995,1995,6,199506
19950701,3.72,2.09,-1.69,0.45,01JUL1995,1995,7,199507
19950801,0.55,1.6,2.72,0.47,01AUG1995,1995,8,199508
19950901,3.35,-2.11,-0.76,0.43,01SEP1995,1995,9,199509
19951001,-1.52,-3.74,-0.75,0.47,01OCT1995,1995,10,199510
19951101,3.96,-1.17,0.95,0.42,01NOV1995,1995,11,199511
19951201,1.03,0.57,0.86,0.49,01DEC1995,1995,12,199512
19960101,2.26,-2.61,0.32,0.43,01JAN1996,1996,1,199601
19960201,1.33,1.87,-1.44,0.39,01FEB1996,1996,2,199602
19960301,0.73,1.3,0.99,0.39,01MAR1996,1996,3,199603
19960401,2.06,4.92,-3.9,0.46,01APR1996,1996,4,199604
19960501,2.36,3.04,-1.21,0.42,01MAY1996,1996,5,199605
19960601,-1.14,-3.58,1.55,0.4,01JUN1996,1996,6,199606
19960701,-5.97,-3.84,4.42,0.45,01JUL1996,1996,7,199607
19960801,2.77,2.29,-0.43,0.41,01AUG1996,1996,8,199608
19960901,5.01,-0.87,-3.13,0.44,01SEP1996,1996,9,199609
19961001,0.86,-4.47,5.1,0.42,01OCT1996,1996,10,199610
19961101,6.25,-3.91,1.21,0.41,01NOV1996,1996,11,199611
19961201,-1.7,3.21,0.86,0.46,01DEC1996,1996,12,199612
19970101,4.98,-1.84,-1.65,0.45,01JAN1997,1997,1,199701
19970201,-0.49,-2.9,5.18,0.39,01FEB1997,1997,2,199702
19970301,-5.02,-0.38,3.78,0.43,01MAR1997,1997,3,199703
19970401,4.04,-5.64,-0.07,0.43,01APR1997,1997,4,199704
19970501,6.74,4.92,-3.91,0.49,01MAY1997,1997,5,199705
19970601,4.1,1.35,1.21,0.37,01JUN1997,1997,6,199706
19970701,7.33,-2.79,0.85,0.43,01JUL1997,1997,7,199707
19970801,-4.15,7.29,1.37,0.41,01AUG1997,1997,8,199708
19970901,5.35,2.61,0.01,0.44,01SEP1997,1997,9,199709
19971001,-3.8,-0.66,1.94,0.42,01OCT1997,1997,10,199710
19971101,2.98,-4.96,0.77,0.39,01NOV1997,1997,11,199711
19971201,1.32,-2.32,3.45,0.48,01DEC1997,1997,12,199712
19980101,0.15,-1.16,-1.43,0.43,01JAN1998,1998,1,199801
19980201,7.04,0.01,-0.15,0.39,01FEB1998,1998,2,199802
19980301,4.76,-0.93,1.03,0.39,01MAR1998,1998,3,199803
19980401,0.73,0.22,0.78,0.43,01APR1998,1998,4,199804
19980501,-3.07,-3.75,4.15,0.4,01MAY1998,1998,5,199805
19980601,3.18,-3.14,-2.34,0.41,01JUN1998,1998,6,199806
19980701,-2.46,-5.13,-0.98,0.4,01JUL1998,1998,7,199807
19980801,-16.08,-5.3,3.39,0.43,01AUG1998,1998,8,199808
19980901,6.15,-0.14,-3.26,0.46,01SEP1998,1998,9,199809
19981001,7.13,-3.3,-2.2,0.32,01OCT1998,1998,10,199810
19981101,6.1,1.06,-3.13,0.31,01NOV1998,1998,11,199811
19981201,6.16,-0.34,-4.45,0.38,01DEC1998,1998,12,199812
19990101,3.5,0.37,-4.03,0.35,01JAN1999,1999,1,199901
19990201,-4.08,-5.64,1.37,0.35,01FEB1999,1999,2,199902
19990301,3.45,-3.93,-2.65,0.43,01MAR1999,1999,3,199903
19990401,4.33,3.96,2.54,0.37,01APR1999,1999,4,199904
19990501,-2.46,3.46,2.33,0.34,01MAY1999,1999,5,199905
19990601,4.77,3.04,-3.58,0.4,01JUN1999,1999,6,199906
19990701,-3.47,2.66,-0.8,0.38,01JUL1999,1999,7,199907
19990801,-1.38,-1.35,-1.27,0.39,01AUG1999,1999,8,199908
19990901,-2.81,3.33,-3.37,0.39,01SEP1999,1999,9,199909
19991001,6.13,-6.87,-2.97,0.39,01OCT1999,1999,10,199910
19991101,3.37,7.4,-6.51,0.36,01NOV1999,1999,11,199911
19991201,7.72,7.15,-8.69,0.44,01DEC1999,1999,12,199912
20000101,-4.74,5.01,-0.45,0.41,01JAN2000,2000,1,200001
20000201,2.45,22.08,-10.49,0.43,01FEB2000,2000,2,200002
20000301,5.2,-17.17,7.86,0.47,01MAR2000,2000,3,200003
20000401,-6.4,-7.77,8.57,0.46,01APR2000,2000,4,200004
20000501,-4.42,-4.94,2.39,0.5,01MAY2000,2000,5,200005
20000601,4.64,13.95,-10.03,0.4,01JUN2000,2000,6,200006
20000701,-2.51,-2.78,8.15,0.48,01JUL2000,2000,7,200007
20000801,7.03,-1.11,-0.69,0.5,01AUG2000,2000,8,200008
20000901,-5.45,-1.4,6.23,0.51,01SEP2000,2000,9,200009
20001001,-2.76,-3.77,5.55,0.56,01OCT2000,2000,10,200010
20001101,-10.72,-2.77,11.29,0.51,01NOV2000,2000,11,200011
20001201,1.19,0.96,7.3,0.5,01DEC2000,2000,12,200012
20010101,3.13,6.56,-4.88,0.54,01JAN2001,2001,1,200101
20010201,-10.05,-0.72,12.91,0.38,01FEB2001,2001,2,200102
20010301,-7.26,0.39,6.49,0.42,01MAR2001,2001,3,200103
20010401,7.94,0.5,-4.69,0.39,01APR2001,2001,4,200104
20010501,0.72,2.6,3.13,0.32,01MAY2001,2001,5,200105
20010601,-1.94,6.03,-1.09,0.28,01JUN2001,2001,6,200106
20010701,-2.13,-4.35,5.61,0.3,01JUL2001,2001,7,200107
20010801,-6.46,2.5,2.56,0.31,01AUG2001,2001,8,200108
20010901,-9.25,-6.11,1.56,0.28,01SEP2001,2001,9,200109
20011001,2.46,7.56,-8.02,0.22,01OCT2001,2001,10,200110
20011101,7.54,-0.4,2,0.17,01NOV2001,2001,11,200111
20011201,1.61,4.56,1.08,0.15,01DEC2001,2001,12,200112
20020101,-1.44,1.19,3.35,0.14,01JAN2002,2002,1,200201
20020201,-2.29,-1.14,2.51,0.13,01FEB2002,2002,2,200202
20020301,4.24,4.26,1.11,0.13,01MAR2002,2002,3,200203
20020401,-5.2,5.94,3.92,0.15,01APR2002,2002,4,200204
20020501,-1.38,-3.22,1.7,0.14,01MAY2002,2002,5,200205
20020601,-7.21,4.26,0.12,0.13,01JUN2002,2002,6,200206
20020701,-8.18,-5.37,-3.52,0.15,01JUL2002,2002,7,200207
20020801,0.5,-2.43,2.53,0.14,01AUG2002,2002,8,200208
20020901,-10.35,2.55,1.26,0.14,01SEP2002,2002,9,200209
20021001,7.84,-2.86,-5.4,0.14,01OCT2002,2002,10,200210
20021101,5.96,2.95,-0.95,0.12,01NOV2002,2002,11,200211
20021201,-5.76,0,2.21,0.11,01DEC2002,2002,12,200212
20030101,-2.57,1.44,-0.83,0.1,01JAN2003,2003,1,200301
20030201,-1.88,-0.35,-1.47,0.09,01FEB2003,2003,2,200302
20030301,1.09,1,-1.93,0.1,01MAR2003,2003,3,200303
20030401,8.22,0.61,1.11,0.1,01APR2003,2003,4,200304
20030501,6.05,4.84,-0.1,0.09,01MAY2003,2003,5,200305
20030601,1.42,1.6,0.57,0.1,01JUN2003,2003,6,200306
20030701,2.35,5.34,-1.02,0.07,01JUL2003,2003,7,200307
20030801,2.34,2.65,2.1,0.07,01AUG2003,2003,8,200308
20030901,-1.24,0.81,0.01,0.08,01SEP2003,2003,9,200309
20031001,6.08,2.81,1.93,0.07,01OCT2003,2003,10,200310
20031101,1.35,2.16,1.96,0.07,01NOV2003,2003,11,200311
20031201,4.29,-3.05,2.35,0.08,01DEC2003,2003,12,200312
20040101,2.15,2.74,1.96,0.07,01JAN2004,2004,1,200401
20040201,1.4,-1.43,0.48,0.06,01FEB2004,2004,2,200402
20040301,-1.32,1.77,0.25,0.09,01MAR2004,2004,3,200403
20040401,-1.83,-2.12,-2.62,0.08,01APR2004,2004,4,200404
20040501,1.17,-0.19,-0.35,0.06,01MAY2004,2004,5,200405
20040601,1.86,2.23,1.35,0.08,01JUN2004,2004,6,200406
20040701,-4.06,-3.8,4.09,0.1,01JUL2004,2004,7,200407
20040801,0.08,-1.59,0.96,0.11,01AUG2004,2004,8,200408
20040901,1.6,3.05,-0.24,0.11,01SEP2004,2004,9,200409
20041001,1.43,0.33,-0.56,0.11,01OCT2004,2004,10,200410
20041101,4.54,3.9,1.81,0.15,01NOV2004,2004,11,200411
20041201,3.43,0.16,-0.04,0.16,01DEC2004,2004,12,200412
20050101,-2.76,-1.53,1.95,0.16,01JAN2005,2005,1,200501
20050201,1.89,-0.49,1.65,0.16,01FEB2005,2005,2,200502
20050301,-1.97,-1.42,1.54,0.21,01MAR2005,2005,3,200503
20050401,-2.61,-4,-0.35,0.21,01APR2005,2005,4,200504
20050501,3.65,2.87,-0.81,0.24,01MAY2005,2005,5,200505
20050601,0.57,2.59,2.69,0.23,01JUN2005,2005,6,200506
20050701,3.92,2.89,-0.54,0.24,01JUL2005,2005,7,200507
20050801,-1.22,-0.93,1.27,0.3,01AUG2005,2005,8,200508
20050901,0.49,-0.58,0.76,0.29,01SEP2005,2005,9,200509
20051001,-2.02,-1.21,0.25,0.27,01OCT2005,2005,10,200510
20051101,3.61,0.89,-1.19,0.31,01NOV2005,2005,11,200511
20051201,-0.25,-0.49,0.4,0.32,01DEC2005,2005,12,200512
20060101,3.04,5.43,1.12,0.35,01JAN2006,2006,1,200601
20060201,-0.3,-0.38,-0.25,0.34,01FEB2006,2006,2,200602
20060301,1.46,3.51,0.51,0.37,01MAR2006,2006,3,200603
20060401,0.73,-1.34,2.61,0.36,01APR2006,2006,4,200604
20060501,-3.57,-3.03,2.57,0.43,01MAY2006,2006,5,200605
20060601,-0.35,-0.38,0.86,0.4,01JUN2006,2006,6,200606
20060701,-0.78,-4.07,2.92,0.4,01JUL2006,2006,7,200607
20060801,2.03,0.92,-1.72,0.42,01AUG2006,2006,8,200608
20060901,1.84,-1.36,0.03,0.41,01SEP2006,2006,9,200609
20061001,3.23,1.75,-0.05,0.41,01OCT2006,2006,10,200610
20061101,1.71,0.86,0.04,0.42,01NOV2006,2006,11,200611
20061201,0.87,-1.1,3.16,0.4,01DEC2006,2006,12,200612
20070101,1.4,0.1,-0.13,0.44,01JAN2007,2007,1,200701
20070201,-1.96,1.32,-0.1,0.38,01FEB2007,2007,2,200702
20070301,0.68,-0.06,-0.23,0.43,01MAR2007,2007,3,200703
20070401,3.49,-2.07,-1.15,0.44,01APR2007,2007,4,200704
20070501,3.24,-0.01,-0.07,0.41,01MAY2007,2007,5,200705
20070601,-1.96,0.79,-1.11,0.4,01JUN2007,2007,6,200706
20070701,-3.73,-2.5,-3.34,0.4,01JUL2007,2007,7,200707
20070801,0.92,-0.1,-2.25,0.42,01AUG2007,2007,8,200708
20070901,3.22,-2.28,-1.91,0.32,01SEP2007,2007,9,200709
20071001,1.8,0.22,-2.62,0.32,01OCT2007,2007,10,200710
20071101,-4.83,-2.61,-1.18,0.34,01NOV2007,2007,11,200711
20071201,-0.87,0.19,-0.44,0.27,01DEC2007,2007,12,200712
20080101,-6.36,-0.87,3.69,0.21,01JAN2008,2008,1,200801
20080201,-3.09,-0.21,-0.88,0.13,01FEB2008,2008,2,200802
20080301,-0.93,0.91,-0.18,0.17,01MAR2008,2008,3,200803
20080401,4.6,-1.65,-0.99,0.18,01APR2008,2008,4,200804
20080501,1.86,3.15,-1.49,0.18,01MAY2008,2008,5,200805
20080601,-8.44,1.32,-2.47,0.17,01JUN2008,2008,6,200806
20080701,-0.77,2.44,5.89,0.15,01JUL2008,2008,7,200807
20080801,1.53,3.61,1.57,0.13,01AUG2008,2008,8,200808
20080901,-9.24,-1.11,6.26,0.15,01SEP2008,2008,9,200809
20081001,-17.23,-2.25,-2.75,0.08,01OCT2008,2008,10,200810
20081101,-7.86,-3.01,-5.85,0.03,01NOV2008,2008,11,200811
20081201,1.74,3.62,-0.21,0,01DEC2008,2008,12,200812
20090101,-8.12,0.1,-11.25,0,01JAN2009,2009,1,200901
20090201,-10.1,0.15,-7.27,0.01,01FEB2009,2009,2,200902
20090301,8.95,-0.1,3.62,0.02,01MAR2009,2009,3,200903
20090401,10.19,4.74,5.44,0.01,01APR2009,2009,4,200904
20090501,5.21,-2.35,-0.14,0,01MAY2009,2009,5,200905
20090601,0.43,2.6,-2.66,0.01,01JUN2009,2009,6,200906
20090701,7.72,2.05,5.22,0.01,01JUL2009,2009,7,200907
20090801,3.33,-0.81,7.85,0.01,01AUG2009,2009,8,200908
20090901,4.08,2.49,0.97,0.01,01SEP2009,2009,9,200909
20091001,-2.59,-4.29,-4.26,0,01OCT2009,2009,10,200910
20091101,5.56,-2.48,-0.12,0,01NOV2009,2009,11,200911
20091201,2.75,6.11,0,0.01,01DEC2009,2009,12,200912
20100101,-3.36,0.37,0.3,0,01JAN2010,2010,1,201001
20100201,3.4,1.19,3.18,0,01FEB2010,2010,2,201002
20100301,6.31,1.49,2.15,0.01,01MAR2010,2010,3,201003
20100401,2,4.99,2.83,0.01,01APR2010,2010,4,201004
20100501,-7.89,0,-2.41,0.01,01MAY2010,2010,5,201005
20100601,-5.56,-2.01,-4.52,0.01,01JUN2010,2010,6,201006
20100701,6.93,0.21,-0.21,0.01,01JUL2010,2010,7,201007
20100801,-4.77,-2.99,-1.96,0.01,01AUG2010,2010,8,201008
20100901,9.54,3.92,-3.12,0.01,01SEP2010,2010,9,201009
20101001,3.88,1.14,-2.52,0.01,01OCT2010,2010,10,201010
20101101,0.6,3.68,-0.91,0.01,01NOV2010,2010,11,201011
20101201,6.82,0.68,3.78,0.01,01DEC2010,2010,12,201012
20110101,1.99,-2.48,0.82,0.01,01JAN2011,2011,1,201101
20110201,3.49,1.53,1.1,0.01,01FEB2011,2011,2,201102
20110301,0.45,2.58,-1.57,0.01,01MAR2011,2011,3,201103
20110401,2.9,-0.31,-2.53,0,01APR2011,2011,4,201104
20110501,-1.27,-0.72,-2.09,0,01MAY2011,2011,5,201105
20110601,-1.75,-0.2,-0.33,0,01JUN2011,2011,6,201106
20110701,-2.36,-1.34,-1.16,0,01JUL2011,2011,7,201107
20110801,-5.99,-3.03,-2.4,0.01,01AUG2011,2011,8,201108
20110901,-7.59,-3.54,-1.37,0,01SEP2011,2011,9,201109
20111001,11.35,3.44,-0.22,0,01OCT2011,2011,10,201110
20111101,-0.28,-0.18,-0.42,0,01NOV2011,2011,11,201111
20111201,0.74,-0.67,1.71,0,01DEC2011,2011,12,201112
20120101,5.05,2.15,-1.11,0,01JAN2012,2012,1,201201
20120201,4.42,-1.72,0.11,0,01FEB2012,2012,2,201202
20120301,3.11,-0.63,0.89,0,01MAR2012,2012,3,201203
20120401,-0.85,-0.54,-0.46,0,01APR2012,2012,4,201204
20120501,-6.19,0,-0.52,0.01,01MAY2012,2012,5,201205
20120601,3.89,0.79,0.41,0,01JUN2012,2012,6,201206
20120701,0.79,-2.6,-0.25,0,01JUL2012,2012,7,201207
20120801,2.55,0.39,1.34,0.01,01AUG2012,2012,8,201208
20120901,2.73,0.48,1.57,0.01,01SEP2012,2012,9,201209
20121001,-1.76,-1.09,3.64,0.01,01OCT2012,2012,10,201210
20121101,0.78,0.54,-0.81,0.01,01NOV2012,2012,11,201211
20121201,1.18,1.49,3.52,0.01,01DEC2012,2012,12,201212
20130101,5.57,0.44,0.95,0,01JAN2013,2013,1,201301
20130201,1.29,-0.43,0.11,0,01FEB2013,2013,2,201302
20130301,4.03,0.84,-0.26,0,01MAR2013,2013,3,201303
20130401,1.55,-2.43,0.57,0,01APR2013,2013,4,201304
20130501,2.8,1.69,2.49,0,01MAY2013,2013,5,201305
20130601,-1.2,1.17,-0.13,0,01JUN2013,2013,6,201306
20130701,5.65,1.88,0.61,0,01JUL2013,2013,7,201307
20130801,-2.71,0.25,-2.77,0,01AUG2013,2013,8,201308
20130901,3.77,2.94,-1.2,0,01SEP2013,2013,9,201309
20131001,4.18,-1.52,1.1,0,01OCT2013,2013,10,201310
20131101,3.12,1.25,0.26,0,01NOV2013,2013,11,201311
20131201,2.81,-0.48,-0.31,0,01DEC2013,2013,12,201312
20140101,-3.32,0.87,-2.13,0,01JAN2014,2014,1,201401
20140201,4.65,0.34,-0.37,0,01FEB2014,2014,2,201402
20140301,0.43,-1.85,5.03,0,01MAR2014,2014,3,201403
20140401,-0.19,-4.19,1.1,0,01APR2014,2014,4,201404
20140501,2.06,-1.85,-0.36,0,01MAY2014,2014,5,201405
20140601,2.61,3.01,-0.66,0,01JUN2014,2014,6,201406
20140701,-2.04,-4.22,-0.02,0,01JUL2014,2014,7,201407
20140801,4.24,0.4,-0.55,0,01AUG2014,2014,8,201408
20140901,-1.97,-3.8,-1.19,0,01SEP2014,2014,9,201409
20141001,2.52,4.28,-1.68,0,01OCT2014,2014,10,201410
20141101,2.55,-2.05,-2.98,0,01NOV2014,2014,11,201411
20141201,-0.06,2.59,2.12,0,01DEC2014,2014,12,201412
20150101,-3.11,-0.51,-3.47,0,01JAN2015,2015,1,201501
20150201,6.13,0.51,-1.73,0,01FEB2015,2015,2,201502
20150301,-1.12,3.07,-0.45,0,01MAR2015,2015,3,201503
20150401,0.59,-3.01,1.84,0,01APR2015,2015,4,201504
20150501,1.36,0.9,-1.32,0,01MAY2015,2015,5,201505
20150601,-1.53,2.85,-0.8,0,01JUN2015,2015,6,201506
20150701,1.54,-4.07,-4.21,0,01JUL2015,2015,7,201507
20150801,-6.04,0.52,2.71,0,01AUG2015,2015,8,201508
20150901,-3.08,-2.61,0.58,0,01SEP2015,2015,9,201509
20151001,7.75,-1.93,-0.11,0,01OCT2015,2015,10,201510
20151101,0.56,3.62,-0.57,0,01NOV2015,2015,11,201511
20151201,-2.17,-2.81,-2.46,0.01,01DEC2015,2015,12,201512
20160101,-5.77,-3.36,2.26,0.01,01JAN2016,2016,1,201601
20160201,-0.07,0.83,-0.48,0.02,01FEB2016,2016,2,201602
20160301,6.96,0.86,1.11,0.02,01MAR2016,2016,3,201603
20160401,0.92,0.68,3.25,0.01,01APR2016,2016,4,201604
20160501,1.78,-0.27,-1.79,0.01,01MAY2016,2016,5,201605
20160601,-0.05,0.61,-1.49,0.02,01JUN2016,2016,6,201606
20160701,3.95,2.9,-0.98,0.02,01JUL2016,2016,7,201607
20160801,0.5,0.94,3.18,0.02,01AUG2016,2016,8,201608
20160901,0.25,2,-1.34,0.02,01SEP2016,2016,9,201609
20161001,-2.02,-4.41,4.15,0.02,01OCT2016,2016,10,201610
20161101,4.86,5.68,8.44,0.01,01NOV2016,2016,11,201611
20161201,1.81,-0.04,3.52,0.03,01DEC2016,2016,12,201612
20170101,1.94,-1,-2.69,0.04,01JAN2017,2017,1,201701
20170201,3.57,-1.79,-1.8,0.04,01FEB2017,2017,2,201702
20170301,0.17,1.13,-3.32,0.03,01MAR2017,2017,3,201703
